category;english;hungarian
2;test;teszt
1;to be fond of;nagyon szeret
1;to grow to like;megszeret
1;to have a row with;összeveszik valakivel
1;to be over the moon;nagyon boldog
1;scattered;szétszóródott
1;to take after somebody;hasonlít valakire
1;chin;áll
1;unkempt;ápolatlan
1;to admire;csodálni
1;fashion-conscious;ad magára
1;dressing gown;köntös
1;house coat;fürdőköpeny
1;plain;hétköznapi
1;plump;dundi
1;curly;göndör
1;to have plaits;be van fonva
1;untidy;rendetlen
1;wig;paróka
1;to have a receding hairline;elöl kopaszodik
1;to wear one's hair in a bun;kontyban hordja a haját
1;broad-shouldered;szélesvállú
1;narrow-shouldered;keskenyvállú
1;hook-nose;kampós
1;snub;pisze
1;double chin;toka
1;cheekbone;arccsont
1;hollow;beesett
1;chubby;pufók
1;wrinkled;ráncos
1;freckled;szeplős
1;pock-marked;ragyás
1;tanned;lebarnult
1;bushy;sűrű
1;plucked;szedett, ritkított
1;sideburns;pajesz
1;lively;élénk
1;to brood;tűnődik
1;moody;változó hangulatú
1;sulky;mogorva
1;amusing;szórakoztató
1;to be depressed;lehangolt
1;reliable;megbízható
1;sincere, frank;őszinte, nyílt
1;witty;szellemes
1;to have a pleasent temperament;kellemes egyéniség
1;to tend to do;hajlik rá
1;cheeky;szemtelen
1;boastful;dicsekvő
1;uncultured;műveletlen
1;superficial;felületes
1;mediocre;középszerű
1;obstinate;makacs
1;forgetful;feledékeny
1;negligent;hanyag
1;cautious;óvatos
1;mean, stingy;szűkmarkú
1;cynical;cinikus
1;nosy;kiváncsi
1;to be fed up with;elege van valamiből
1;to feel down in the dumps;le van törve
1;to feel blue;szomorú
1;to chuckle;kuncog
1;to frown;összevonja a szemöldökét
1;to moan;nyög
1;to cope with;megbírkózik valamivel
1;to let emotuions build up;magába fojtja az érzelmeit
1;get in to rage;dühbe gurul
1;to lose one's temper;elveszti a türelmét
1;spouse;házastárs
1;good manners;jómodor
1;firm;kitartó
1;burden;teher
1;upbringing;nevelés
1;to misbehave;rosszul viselkedik
